placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,seq,area,inv,transecto,parcela,distancia,ns,metragem,quadra,recruit,data_morta,altura,altura_1,dap.04,mv.04,obs.04,data04,pq_f4,obs_f4,am_f4,c.05,mv.05,obs.05,pp_ne5,tombada5,am_f5,pq_f5,obs_cic5,qtotal5,data_cic5,c.06,mv.06,obs.06,pp_ne6,am_f6,pq_f6,obs_cic6,data_cic6,qtotal6,data06,dap.07,c.07,mv.07,obs.07,pp_ne7,tombada7,data_c07P,c07P,obs_c07P,c07_CP,am_f7,pq_f7,nova_placa.07,data07,dap.08,c.08,mv.08,obs.08,data08,NA.CORRECAO,Cicat,Rec,c.09,mv.09,obs.09,cicat_c09,recup_c09,am_f9,pq_f9,qt_f9,obs_cic9,data_cic9,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,mv.23,obs.23,data23,equipe.23,dap.24,c.24,mv.24,obs.24,data24,equipe.24
2547,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,2164,1,10a20cm,P,B,2.5,S,706.1,58,i04,2004,21,21,41.8,m,,01_08_2004,100,tombada,,0,m,qt_pr,0,0,,,,,,0,m,pr,0,,,,,,02_08_2006,,0,m,,0,0,20_09_2007,M,,caida,,,,02_08_2007,,0,m,morta,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2548,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2165,1,10a20cm,P,B,0.6,S,708.8,58,i04,2009,20,20,28,v,,01_08_2004,30,,90,4,v,,0,0,,,,,,4,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,130,40,,02_08_2007,34.7,4,v,,10_07_2008,,2,0,0,m,cr,4,2,,,,,,,0,m,m,30_06_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2549,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2166,1,10a20cm,P,B,2.2,S,719.6,58,i04,2010,18,18,24.9,v,,01_08_2004,25,,44,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,50,40,,02_08_2007,26.4,3,v,,10_07_2008,,1,0,2,v,,2,1,,,,,,,0,m,m,30_06_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
255,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,255,1,10a20cm,F,B,-4,N,690.2,57,i04,2011,20,20,39.9,v,,01_08_2004,,,,4,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,20_09_2007,V,,empe,120,100,,31_07_2007,39.8,3,v,cr,10_07_2008,,0,,4,v,,,,,,,,,40.3,4,v,,30_06_2010,,0,m,morta,16_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,10_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2550,,miraoba_folha_grande,Moubra,Mouriri,brachyanthera Ducke,Memecylaceae,,0.838461538,2167,1,10a20cm,P,B,3.5,S,719.1,58,i04,2008,20,20,25.3,v,,01_08_2004,5,,10,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,50,100,,02_08_2007,26,0,m,,10_07_2008,,0,0,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2551,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,2168,1,10a20cm,P,B,7.5,S,718.4,58,i04,2016,20,20,21.6,v,,01_08_2004,50,,40,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,15,1,,02_08_2007,25.1,4,v,,10_07_2008,,2,1,5,v,,2,1,,,,,,23.8,5,v,,30_06_2010,28,5,v,,12_08_2011,29.6,5,v,,20_06_2012,29.6,1,v,tombada,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2552,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2169,1,10a20cm,P,B,5.5,S,724.9,58,i04,2005,25,25,36.3,v,,01_08_2004,100,,5,0,m,qt,0,0,,,,,,0,m,pp,1,,,,,,02_08_2006,,0,m,,0,0,20_09_2007,M,qt,,,,,02_08_2007,,0,m,morta,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2553,,breu_aroeira,Dacmic,Dacryodes,microcarpa Cuart.,Burseraceae,,0.511666667,2170,1,10a20cm,P,B,-1.6,N,728.6,59,i04,,21,21,27.8,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,30.2,4,v,,10_07_2008,,0,0,5,v,,,,,,,,,31.9,5,v,,30_06_2010,33.5,5,v,,12_08_2011,34.8,5,v,,20_06_2012,38.5,4,v,,08_10_2014,40.9,5,v,,29_06_2016,42.6,5,v,,18_06_2018,45.3,5,v,,,14_07_2022,Santarem_Ebis_Bat_Darlisson,v,,29_06_2023,Bate; Mychellyne; Leo,47.7,5,v,,20_06_2024,Santarem_Nathalia_Maraca
2554,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,2171,1,10a20cm,P,B,-8.8,N,727.2,59,i04,2022,24,24,28.1,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,pp,,0,0,,02_08_2007,28.7,4,v,,10_07_2008,,0,0,4,v,pp,,,,,,,,28.9,4,v,,30_06_2010,29.2,4,v,cqcr,12_08_2011,29.3,2,v,cqcr,20_06_2012,32.7,4,v,,08_10_2014,31.5,3,v,,29_06_2016,31.6,4,v,,18_06_2018,,0,m,morta,,14_07_2022,Santarem_Ebis_Bat_Darlisson,,,,,,0,m,,10_06_2024,
2555,,louro_prata,Ocogui,Ocotea,guianensis Aubl.,Lauraceae,,0.56,2172,1,10a20cm,P,B,-1.9,N,765,59,i04,2014,23,23,25.2,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,30,50,,02_08_2007,28.8,4,v,,10_07_2008,,0,0,3,v,,,,,,,,,29.7,5,v,,13_07_2010,29.8,4,v,,12_08_2011,31.8,5,v,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2556,,quaruba_cedro,Vocvis,Vochysia,vismiifolia Spr. Ex warm.,Vochysiaceae,,0.48,2173,1,10a20cm,P,B,-2.5,N,743.8,59,i04,2014,22,22,33.7,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,30,80,,02_08_2007,36.3,4,v,,10_07_2008,,0,0,4,v,,,,,,,,,37.6,4,v,,30_06_2010,37.9,3,v,,12_08_2011,38.4,3,v,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2557,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2174,1,10a20cm,P,B,-6.2,N,744.9,59,i04,2022,26,26,21.1,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,23,4,v,,10_07_2008,,0,0,5,v,,,,,,,,,23.6,5,v,,30_06_2010,23.9,3,v,,12_08_2011,24.6,5,v,,20_06_2012,26.8,3,v,,08_10_2014,27.4,4,v,,29_06_2016,26.8,4,v,,18_06_2018,,0,m,morta,,14_07_2022,Santarem_Ebis_Bat_Darlisson,,,,,,0,m,,10_06_2024,
2558,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,2175,1,10a20cm,P,B,-6.4,N,747.2,59,i04,,16,16,44,v,,01_08_2004,,,,4,v,,0,0,,,,,,3,v,cq,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,44.2,3,v,cq,10_07_2008,,0,0,4,v,,,,,,,,,44.4,4,v,,13_07_2010,44.5,3,v,cqcr,12_08_2011,44.6,4,v,cqcr,20_06_2012,44.6,4,v,,08_10_2014,44.9,4,v,,29_06_2016,44.9,4,v,,18_06_2018,44.9,3,v,,,14_07_2022,Santarem_Ebis_Bat_Darlisson,v,,29_06_2023,Bate; Mychellyne; Leo,45,5,v,,20_06_2024,Santarem_Nathalia_Maraca
2559,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2176,1,10a20cm,P,B,-8.5,N,745.5,59,i04,2022,19,19,20.7,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,22.3,4,v,,10_07_2008,,0,0,5,v,cr,,,,,,,,22.4,4,v,,13_07_2010,21.7,5,v,,12_08_2011,22,5,v,,20_06_2012,23.5,4,v,,08_10_2014,24.1,5,v,,29_06_2016,25,5,v,,18_06_2018,,0,m,morta,,14_07_2022,Santarem_Ebis_Bat_Darlisson,,,,,,0,m,,10_06_2024,
256,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,256,1,10a20cm,F,B,-7.1,N,689,57,i04,2008,18,18,21.7,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,4,v,,0,0,20_09_2007,V,,empe,1,100,,31_07_2007,22.6,0,m,,10_07_2008,,0,,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,16_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,10_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2560,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,2177,1,10a20cm,P,B,-8.8,N,745.5,59,i04,,25,25,20.2,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,20.5,4,v,,10_07_2008,,0,0,5,v,cr,,,,,,,,20.3,5,v,,13_07_2010,20.7,5,v,,12_08_2011,20.5,5,v,,20_06_2012,20.6,4,v,,08_10_2014,21.5,5,v,,29_06_2016,20.7,5,v,,18_06_2018,20.9,4,v,,,14_07_2022,Santarem_Ebis_Bat_Darlisson,v,,29_06_2023,Bate; Mychellyne; Leo,21.2,5,v,ct,20_06_2024,Santarem_Nathalia_Maraca
2561,,pau_de_cobra,Ourdis,Ouratea,discophora Ducke,Ochnaceae,,0.79,2178,1,10a20cm,P,B,5.9,S,732.1,60,i04,2010,18,18,25.7,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,26.3,4,v,,10_07_2008,,0,0,4,v,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2562,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2179,1,10a20cm,P,B,0.3,S,735.5,60,i04,,28,28,39.4,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,39.6,5,v,,10_07_2008,,0,0,4,v,,,,,,,,,39.6,5,v,,30_06_2010,39.6,5,v,,12_08_2011,39.7,3,v,,20_06_2012,39.8,3,v,,08_10_2014,40.1,4,v,,29_06_2016,40.3,5,v,,18_06_2018,39.8,5,v,,,14_07_2022,Santarem_Ebis_Bat_Darlisson,v,,29_06_2023,Bate; Mychellyne; Leo,40.9,5,v,,20_06_2024,Santarem_Nathalia_Maraca
2563,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,2180,1,10a20cm,P,B,5.3,S,742.7,60,i04,,20,20,57.1,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,62,5,v,,10_07_2008,,0,0,4,v,,,,,,,,,65.5,5,v,,30_06_2010,67.2,5,v,,12_08_2011,70.2,5,v,,20_06_2012,73.2,5,v,,08_10_2014,76.3,5,v,,29_06_2016,78.3,5,v,,18_06_2018,79.5,5,v,,,14_07_2022,Santarem_Ebis_Bat_Darlisson,v,,29_06_2023,Bate; Mychellyne; Leo,81,5,v,,20_06_2024,Santarem_Nathalia_Maraca
2564,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2181,1,10a20cm,P,B,-1.5,N,748,61,i04,,26,26,27.4,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,20,60,,02_08_2007,27.9,4,v,,10_07_2008,,0,0,4,v,,,,,,,,,28.3,5,v,,13_07_2010,29.4,5,v,,12_08_2011,28.9,5,v,,20_06_2012,30,5,v,,08_10_2014,30.1,5,v,,29_06_2016,31,5,v,metro 748,18_06_2018,32.2,5,v,,,14_07_2022,Santarem_Ebis_Bat_Darlisson,v,,29_06_2023,Bate; Mychellyne; Leo,32.8,5,v,,20_06_2024,Santarem_Nathalia_Maraca
2565,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,2182,1,10a20cm,P,B,-5.5,N,752,61,i04,,22,22,45.4,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,100,20,,02_08_2007,45,4,v,,10_07_2008,,0,0,5,v,,,,,,,,,45.8,5,v,,13_07_2010,45.8,5,v,,12_08_2011,46,5,v,,20_06_2012,46.9,5,v,,08_10_2014,46.8,5,v,,29_06_2016,47.3,5,v,,18_06_2018,48,5,v,,,14_07_2022,Santarem_Ebis_Bat_Darlisson,v,,29_06_2023,Bate; Mychellyne; Leo,48.1,5,v,,20_06_2024,Santarem_Nathalia_Maraca
2566,,tinteiro_vermelho,Micpun,Miconia,punctata (Desv.) D. Don.,Melastomataceae,,0.6315,2183,1,10a20cm,P,B,-10,N,765.1,61,i04,2010,24,24,25,v,,01_08_2004,,,,3,v,,0,0,,,,,,4,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,40,20,,02_08_2007,25.6,4,v,,10_07_2008,,0,0,4,v,,,,,,,,,,0,m,m,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2567,,quaruba_cedro,Vocvis,Vochysia,vismiifolia Spr. Ex warm.,Vochysiaceae,,0.48,2184,1,10a20cm,P,B,-2.4,N,769.2,61,i04,2008,14,14,21.2,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,50,30,,02_08_2007,26,0,m,,10_07_2008,,0,0,0,m,,,,,,,,,,0,m,m,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2568,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2185,1,10a20cm,P,B,-7.6,N,771.8,61,i04,2010,25,25,25.3,v,,01_08_2004,,,,4,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,3,v,,0,0,20_09_2007,V,,empe,40,40,,02_08_2007,25.7,4,v,,10_07_2008,,0,0,4,v,,,,,,,,,,0,m,m,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2569,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,2186,1,10a20cm,P,B,-1.6,N,774.5,61,i04,2014,14,14,35.1,v,,01_08_2004,50,,26,5,v,,0,0,,,,,,4,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,500,3,,02_08_2007,39.2,5,v,,10_07_2008,,1,3,5,v,,3,0,,,,,,42.1,5,v,,13_07_2010,42.1,5,v,,12_08_2011,42.7,4,v,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
257,,louro_prata,Ocogui,Ocotea,guianensis Aubl.,Lauraceae,,0.56,257,1,10a20cm,F,B,-0.4,N,696.2,57,i04,2005,14,14,24.1,v,,01_08_2004,,,,0,m,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,20_09_2007,M,,empe,150,100,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,16_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,10_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2570,,xua,Sacgui,Sacoglottis,guianensis Benth. Var. guianensis,Humiriaceae,,0.84,2187,1,10a20cm,P,B,1.6,S,762.8,62,i04,2004,18,18,30.2,m,,01_08_2004,100,qt,,0,m,qt,0,0,,,,,,0,m,pp,1,,,,,,02_08_2006,,0,m,,0,0,20_09_2007,M,qt,,,,,02_08_2007,,0,m,morta,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2571,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,2188,1,10a20cm,P,B,1.1,S,764.2,62,i04,2011,10,10,20.2,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,10,100,,02_08_2007,20.9,3,v,,10_07_2008,,0,0,3,v,cq,,,,,,,,21,3,v,cr,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2572,,caripe,Licgra,Licania,gracilipes Taub.(ou octandra?),Chrysobalanaceae,,0.84,2189,1,10a20cm,P,B,4,S,766.6,62,i04,2005,16,16,22.1,v,,01_08_2004,,,,0,m,,0,0,,,,,,0,m,,0,,,,,,02_08_2006,,0,m,,0,0,20_09_2007,M,qt,,,,,02_08_2007,,0,m,morta,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2573,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,2190,1,10a20cm,P,B,1.8,S,771.8,62,i04,2011,19,19,25.5,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,26.1,4,v,,10_07_2008,,1,0,4,v,,,,,,,,,26.2,5,v,,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2574,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2191,1,10a20cm,P,B,5.8,S,773.4,62,i04,2018,19,19,33.4,v,,01_08_2004,5,,14,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,4,v,,0,0,20_09_2007,V,,empe,0,0,,02_08_2007,33.4,4,v,,10_07_2008,,0,0,5,v,,,,,,,,,33.8,5,v,,13_07_2010,33.7,4,v,,12_08_2011,34,5,v,,20_06_2012,35.1,4,v,cq,08_10_2014,36.2,4,v,,29_06_2016,,0,m,morta,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2575,,quaruba_cedro,Vocvis,Vochysia,vismiifolia Spr. Ex warm.,Vochysiaceae,,0.48,2192,1,10a20cm,P,B,9.8,S,773.4,62,i04,2011,27,27,30.8,v,,01_08_2004,100,,7,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,20,100,,02_08_2007,36.2,5,v,,10_07_2008,,0,0,5,v,,,,,,,,,38.8,5,v,,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2576,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,2193,1,10a20cm,P,B,-4.1,N,787.8,63,i04,2024,27,27,46.3,v,,01_08_2004,95,,45,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,10,10,,02_08_2007,47.7,4,v,,10_07_2008,,0,0,5,v,,,,,,,,,48.3,5,v,,13_07_2010,48.5,5,v,,12_08_2011,48.8,5,v,,20_06_2012,50.4,5,v,,08_10_2014,51.2,5,v,,29_06_2016,52.1,5,v,,18_06_2018,52.8,1,v,cqcr,,14_07_2022,Santarem_Ebis_Bat_Darlisson,v,,29_06_2023,Bate; Mychellyne; Leo,,0,m,morta,20_06_2024,Santarem_Nathalia_Maraca
2577,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2194,1,10a20cm,P,B,-2.9,N,788.1,63,i04,2009,13,13,21,v,,01_08_2004,30,,30,5,v,,0,0,,,,,,4,v,cq_cr,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,40,90,,02_08_2007,22.7,4,v,cq/cr,10_07_2008,,3,1,0,m,tb,,,,,,,,,0,m,m,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2578,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,2195,1,10a20cm,P,B,-3.1,N,793.8,63,i04,2008,19,19,44,v,,01_08_2004,35,,37,5,v,,0,0,,,,,,4,v,,0,,,,,,02_08_2006,,3,v,,0,0,20_09_2007,V,,empe,90,90,,02_08_2007,44.1,0,m,tombada,10_07_2008,,0,0,0,m,,,,,,,,,,0,m,m,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2579,,tinteiro_vermelho,Micpun,Miconia,punctata (Desv.) D. Don.,Melastomataceae,,0.6315,2196,1,10a20cm,P,B,-1.1,N,798.9,63,i04,2014,22,22,23,v,,01_08_2004,95,,32,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,10,2,,02_08_2007,24.7,4,v,,10_07_2008,,0,0,5,v,,,,,,,,,26.5,5,v,,13_07_2010,27.5,5,v,,12_08_2011,28.2,5,v,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
258,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,258,1,10a20cm,F,B,2.4,S,691.9,58,i04,2008,22,22,21.1,v,,01_08_2004,30,,30,4,v,cr,0,0,,,,,,4,v,cr,0,,,,,,01_08_2006,,4,v,,0,0,20_09_2007,V,,empe,50,100,,31_07_2007,21,0,m,,10_07_2008,,0,,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,16_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,10_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
2580,,quaruba_cedro,Vocvis,Vochysia,vismiifolia Spr. Ex warm.,Vochysiaceae,,0.48,2197,1,10a20cm,P,B,4.1,S,778.4,64,i04,2011,17,17,32.1,v,,01_08_2004,90,,40,5,v,,0,0,,,,,,5,v,,0,,,,,,02_08_2006,,5,v,,0,0,20_09_2007,V,,empe,70,50,,02_08_2007,38.7,4,v,,10_07_2008,,1,1,5,v,,,,,,,,,40.7,5,v,,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,29_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
